Comment,Designator,Footprint,LCSC Part #,Manufacturer Part Number
Conn_02x04_Odd_Even,"J303,J301",PinSocket_2x04_P1.27mm_Vertical,,20021311-00008T4LF
LSM6DS3,U1,Bosch_LGA-14_3x2.5mm_P0.5mm,,LSM6DSOXTR
100n,"C38,C39,C1,C40,C2,C3,C37,C25,C21,C20,C47,C50,C59,C43,C55,C42,C35,C63,C54,C62,C69,C56,C49,C44,C45,C36,C41,C60,C52",C_0402_1005Metric,,CL05B104KO5NNNC
CL1,"C66,C64",C_0402_1005Metric,,GRM1555C1H200JA01D
2.2u,"C16,C17,C19,C18,C76,C53,C58,C75",C_0603_1608Metric,,GRM188R71A225KE15D
4k7,"R84,R85",R_0402_1005Metric,,RC0402JR-074K7L
24,"R113,R114,R116,R115",R_0402_1005Metric,,RC0402FR-0724RL
Conn_01x02,"J104,J105,J100,J101",PinHeader_2x01_P2.54mm_Horizontal,,PRPC001DAAN-RC
LP5907,"U6,U22,U8",SOT-23-5,,LP5907QMFX-3.3Q1
16MHz,Y2,Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm_HandSoldering,,7B-16.000MEEQ-T
CL2,"C67,C65",C_0402_1005Metric,,GRM1555C1H200JA01D
10u,"C68,C70",C_0603_1608Metric,,GRM188R60J106ME47D
USB_B_Micro,"J103,J99",USB_Micro-B_Molex-105017-0001,,105017-1001
SW_Push,"SW1,SW2",SW_SPST_B3U-1000P-B,,B3U-1000P
32768Hz,Y1,Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering,,FC-135 32.7680KA-A5
FXO-SM7_OSC-SMD7050_short,U7,Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering,,CB3LV-3I-8M1920
R_EXT,R117,R_0402_1005Metric,,RC0402JR-070RL
Conn_02x02_Odd_Even,"J2,J1",PinHeader_2x02_P2.54mm_Horizontal,,68021-404HLF
ADUM1402BRWZ,U16,SOIC-16W_7.5x10.3mm_P1.27mm,,ADUM1402BRWZ
Conn_02x03_Odd_Even,"J81,J84",PinHeader_2x03_P2.54mm_Horizontal,,68021-406HLF
220nF,"C81,C5,C90,C8,C102,C78,C93,C23,C84,C28,C11,C99,C33,C87,C14,C96",C_0402_1005Metric,,CC0402KRX5R5BB224
1u,"C79,C82,C91,C92,C94,C101,C22,C6,C9,C103,C89,C24,C4,C77,C7,C80,C61,C46,C57,C48,C95,C83,C15,C12,C97,C85,C13,C88,C32,C29,C27,C10,C98,C86,C100,C34",C_0402_1005Metric,,CL05A105KO5NNNC
ADS131M08IRSN,"U113,U109,U114,U105,U102,U106,U110,U101,U103,U107,U112,U116,U108,U111,U104,U115",QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias,,ADS131M08IRSN
Conn_02x20_Odd_Even,"J207,J203,J201,J205,J208,J204,J202,J206",PinHeader_2x20_P1.27mm_Vertical_SMD,,20021121-00040T4LF
Conn_02x04_Odd_Even,J302,PinHeader_2x04_P1.27mm_Vertical,,HPH2-A-08-UA
0,"R112,R110,R109",R_0402_1005Metric,,RC0402JR-070RL
REF2025,U2,SOT-23-5_HandSoldering,,REF2025AIDDC
SN6505B,U19,SOT-23-6_Handsoldering,,SN6505BDBVR
4.7u,C51,C_0603_1608Metric,,C0603C475K9PACTU
STM32H743ZITx,U18,LQFP-144_20x20mm_P0.5mm,,STM32H743ZIT6U
ADuM3160,U17,SOIC-16W_7.5x10.3mm_P1.27mm,,ADUM3160BRWZ
D_Schottky,"D2,D1",D_SOD-123,,MBR0520LT1G
ISO7341c,U15,SOIC-16W_7.5x10.3mm_P1.27mm,,ISO7341CDW
473521001,U21,473521001,,47352-1001
750315371,T1,750315371,,750315371
