Designator,Mid X,Mid Y,Layer,Rotation
C10,8.636000,20.828000,Bottom,-90.000000
C11,3.048000,19.304000,Bottom,180.000000
C12,1.524000,20.828000,Bottom,-90.000000
C13,-1.524000,20.828000,Bottom,-90.000000
C14,-7.112000,19.304000,Bottom,180.000000
C15,-8.636000,20.828000,Bottom,-90.000000
C27,-8.636000,-20.828000,Bottom,90.000000
C28,-3.048000,-19.304000,Bottom,0.000000
C29,-1.524000,-20.828000,Bottom,90.000000
C32,1.524000,-20.828000,Bottom,90.000000
C33,7.112000,-19.304000,Bottom,0.000000
C34,8.636000,-20.828000,Bottom,90.000000
C35,-9.525000,14.605000,Bottom,-135.000000
C36,-15.621000,24.257000,Bottom,-45.000000
C41,-8.839200,-14.655800,Bottom,135.000000
C42,-10.210800,-13.284200,Bottom,-45.000000
C43,-8.890000,-10.795000,Bottom,-45.000000
C44,-13.284200,-7.747000,Bottom,-135.000000
C45,-13.360400,-4.927600,Bottom,45.000000
C46,-12.700000,-5.638800,Bottom,45.000000
C47,-14.732000,-6.426200,Bottom,-135.000000
C48,-14.046200,-7.112000,Bottom,-135.000000
C49,-14.605000,6.985000,Bottom,90.000000
C50,-9.779000,9.398000,Bottom,135.000000
C51,-9.144000,10.541000,Bottom,135.000000
C52,-7.620000,11.430000,Bottom,-45.000000
C53,-6.350000,12.700000,Bottom,135.000000
C54,-5.080000,13.335000,Bottom,135.000000
C55,6.985000,12.065000,Bottom,135.000000
C56,11.430000,7.493000,Bottom,135.000000
C57,12.141200,8.204200,Bottom,135.000000
C58,13.498952,5.651119,Bottom,45.000000
C59,14.388970,4.762119,Bottom,-135.000000
C60,13.716000,-9.525000,Bottom,45.000000
C61,14.503400,-10.312400,Bottom,45.000000
C62,7.112000,-11.099800,Bottom,0.000000
C63,6.731000,-15.748000,Bottom,-45.000000
C69,8.890000,10.146028,Bottom,-135.000000
C70,10.160000,8.949410,Bottom,-135.000000
C75,12.649200,-11.607800,Bottom,-135.000000
C83,20.828000,-8.636000,Bottom,180.000000
C84,19.304000,-3.048000,Bottom,90.000000
C85,20.828000,-1.524000,Bottom,180.000000
C86,20.828000,1.524000,Bottom,180.000000
C87,19.304000,7.112000,Bottom,90.000000
C88,20.828000,8.636000,Bottom,180.000000
C95,-20.828000,8.636000,Bottom,0.000000
C96,-19.304000,3.048000,Bottom,-90.000000
C97,-20.828000,1.524000,Bottom,0.000000
C98,-20.828000,-1.524000,Bottom,0.000000
C99,-19.304000,-7.112000,Bottom,-90.000000
C100,-20.828000,-8.636000,Bottom,0.000000
D1,9.525000,12.681256,Bottom,135.000000
D2,12.700000,9.506256,Bottom,-45.000000
J99,-22.860000,-22.860000,Bottom,135.000000
J202,0.000000,-30.480000,Bottom,-90.000000
J204,-30.480000,0.000000,Bottom,180.000000
J206,0.000000,30.480000,Bottom,90.000000
J208,30.480000,0.000000,Bottom,0.000000
R85,-10.414000,7.874000,Bottom,45.000000
R115,-12.471400,-10.845800,Bottom,-135.000000
R116,-13.766800,-9.652000,Bottom,-135.000000
T1,16.510000,16.510000,Bottom,-135.000000
U8,10.210800,-10.210800,Bottom,135.000000
U15,-16.510000,16.510000,Bottom,135.000000
U17,-16.510000,-16.510000,Bottom,45.000000
U18,0.000000,0.000000,Bottom,45.000000
U19,22.860000,22.841256,Bottom,45.000000
U21,18.365248,-18.367938,Bottom,-135.000000
U103,-5.080000,-22.860000,Bottom,90.000000
U104,5.080000,-22.860000,Bottom,90.000000
U107,-22.860000,5.080000,Bottom,0.000000
U108,-22.860000,-5.080000,Bottom,0.000000
U111,5.080000,22.860000,Bottom,-90.000000
U112,-5.080000,22.860000,Bottom,-90.000000
U115,22.860000,-5.080000,Bottom,180.000000
U116,22.860000,5.080000,Bottom,180.000000
C1,24.765000,-19.050000,Top,45.000000
C2,20.265476,-21.542938,Top,45.000000
C3,21.640800,-20.167600,Top,-135.000000
C4,8.636000,-20.828000,Top,90.000000
C5,3.048000,-19.304000,Top,180.000000
C6,1.524000,-20.828000,Top,90.000000
C7,1.524000,20.828000,Top,-90.000000
C8,7.112000,19.304000,Top,0.000000
C9,8.636000,20.828000,Top,-90.000000
C16,10.287000,14.020800,Top,45.000000
C17,8.890000,8.241028,Top,135.000000
C18,12.649200,-11.607800,Top,-135.000000
C19,6.858000,-7.848600,Top,135.000000
C20,-3.048000,17.272000,Top,-90.000000
C21,3.048000,15.748000,Top,90.000000
C22,-1.524000,-20.828000,Top,90.000000
C23,-7.112000,-19.304000,Top,180.000000
C24,-8.636000,-20.828000,Top,90.000000
C25,3.048000,17.780000,Top,-90.000000
C37,-14.732000,9.525000,Top,45.000000
C38,-24.257000,15.621000,Top,-45.000000
C39,-22.225000,-20.955000,Top,-135.000000
C40,-20.955000,-22.225000,Top,-135.000000
C64,-7.848600,-11.836400,Top,-135.000000
C65,-8.610600,-11.099800,Top,-135.000000
C66,-9.169400,-15.671800,Top,45.000000
C67,-16.764000,-9.677400,Top,135.000000
C68,20.345400,20.396200,Top,-45.000000
C76,7.924800,-6.781800,Top,135.000000
C77,20.828000,8.636000,Top,180.000000
C78,19.304000,3.048000,Top,-90.000000
C79,20.828000,1.524000,Top,180.000000
C80,20.828000,-1.524000,Top,180.000000
C81,19.304000,-7.112000,Top,-90.000000
C82,20.828000,-8.636000,Top,180.000000
C89,-20.828000,-8.636000,Top,0.000000
C90,-19.304000,-3.048000,Top,90.000000
C91,-20.828000,-1.524000,Top,0.000000
C92,-20.828000,1.524000,Top,0.000000
C93,-19.304000,7.112000,Top,90.000000
C94,-20.828000,8.636000,Top,0.000000
C101,-8.636000,20.828000,Top,-90.000000
C102,-3.048000,19.304000,Top,0.000000
C103,-1.524000,20.828000,Top,-90.000000
J1,29.845000,-14.187898,Top,-45.000000
J2,15.983949,-28.048949,Top,-45.000000
J81,-21.063949,22.860000,Top,135.000000
J84,-26.452102,17.471846,Top,135.000000
J100,-17.888949,-26.143949,Top,-135.000000
J101,-26.143949,-17.888949,Top,-135.000000
J103,22.860000,22.841256,Top,135.000000
J104,17.888949,26.143949,Top,45.000000
J105,26.143949,17.888949,Top,45.000000
J201,0.000000,-30.480000,Top,-90.000000
J203,-30.480000,0.000000,Top,180.000000
J205,0.000000,30.480000,Top,90.000000
J207,30.480000,0.000000,Top,0.000000
J301,16.119000,-1.900000,Top,180.000000
J302,-1.900000,-17.389000,Top,90.000000
J303,-16.119000,1.900000,Top,0.000000
R84,19.050000,-24.765000,Top,45.000000
R109,0.000000,-6.096000,Top,180.000000
R110,12.192000,-7.620000,Top,-90.000000
R112,-4.064000,0.000000,Top,-90.000000
R113,-22.860000,-24.765000,Top,45.000000
R114,-24.765000,-22.860000,Top,45.000000
R117,-11.811000,-8.509000,Top,135.000000
SW1,20.955000,-26.670000,Top,-135.000000
SW2,26.670000,-20.955000,Top,45.000000
U1,18.995476,-19.002938,Top,45.000000
U2,0.000000,16.764000,Top,0.000000
U6,10.795000,10.781028,Top,-135.000000
U7,0.000000,0.000000,Top,90.000000
U16,-16.510000,16.510000,Top,135.000000
U22,10.210800,-10.210800,Top,135.000000
U101,5.080000,-22.860000,Top,90.000000
U102,-5.080000,-22.860000,Top,90.000000
U105,-22.860000,-5.080000,Top,0.000000
U106,-22.860000,5.080000,Top,0.000000
U109,-5.080000,22.860000,Top,-90.000000
U110,5.080000,22.860000,Top,-90.000000
U113,22.860000,5.080000,Top,180.000000
U114,22.860000,-5.080000,Top,180.000000
Y1,-8.489649,-8.540449,Top,-135.000000
Y2,-12.319000,-12.319000,Top,135.000000
